paper_id,pub_year,cited_by,author_ids
https://openalex.org/W2241088308,2015,45,"['https://openalex.org/A5103389035', 'https://openalex.org/A5100329996', 'https://openalex.org/A5100373745', 'https://openalex.org/A5070434985', 'https://openalex.org/A5010394520', 'https://openalex.org/A5052362530']"
https://openalex.org/W2995364987,2019,36,"['https://openalex.org/A5042435184', 'https://openalex.org/A5018392096', 'https://openalex.org/A5019051904', 'https://openalex.org/A5069257022', 'https://openalex.org/A5070236501']"
https://openalex.org/W4388773253,2023,11,"['https://openalex.org/A5015843011', 'https://openalex.org/A5082698243', 'https://openalex.org/A5056499434', 'https://openalex.org/A5034490805']"
https://openalex.org/W2055933498,2013,43,"['https://openalex.org/A5079019171', 'https://openalex.org/A5073727998', 'https://openalex.org/A5082941882', 'https://openalex.org/A5100329996', 'https://openalex.org/A5084686610', 'https://openalex.org/A5110018547', 'https://openalex.org/A5012404748']"
https://openalex.org/W2804044341,2018,34,"['https://openalex.org/A5003765063', 'https://openalex.org/A5049389261']"
https://openalex.org/W3035318823,2020,27,"['https://openalex.org/A5085921946', 'https://openalex.org/A5043371757', 'https://openalex.org/A5070920982']"
https://openalex.org/W4246288419,2020,27,"['https://openalex.org/A5052536455', 'https://openalex.org/A5082698243', 'https://openalex.org/A5080265907', 'https://openalex.org/A5056499434']"
https://openalex.org/W3178476290,2021,24,"['https://openalex.org/A5087795032', 'https://openalex.org/A5040844400', 'https://openalex.org/A5086073834']"
https://openalex.org/W2081256993,2003,56,"['https://openalex.org/A5100329996', 'https://openalex.org/A5043832976', 'https://openalex.org/A5031564316', 'https://openalex.org/A5081456725', 'https://openalex.org/A5073937337', 'https://openalex.org/A5028180730']"
https://openalex.org/W2110531497,2014,33,"['https://openalex.org/A5018654304', 'https://openalex.org/A5049649080', 'https://openalex.org/A5057472292', 'https://openalex.org/A5004364082', 'https://openalex.org/A5035143437', 'https://openalex.org/A5022967320', 'https://openalex.org/A5019497011', 'https://openalex.org/A5102776322', 'https://openalex.org/A5053483719']"
https://openalex.org/W2755481946,2017,32,"['https://openalex.org/A5036233384', 'https://openalex.org/A5060495004', 'https://openalex.org/A5030410921']"
https://openalex.org/W2971926581,2019,27,"['https://openalex.org/A5078635761', 'https://openalex.org/A5100329996', 'https://openalex.org/A5026289466', 'https://openalex.org/A5014866889', 'https://openalex.org/A5060171073']"
